,precision,recall,f1-score,support
climbing_stairs,1.0,1.0,1.0,514.0
descending_stairs,1.0,1.0,1.0,514.0
eating,1.0,1.0,1.0,54.0
running,1.0,1.0,1.0,514.0
sitting,0.9980582524271845,1.0,0.9990281827016521,514.0
standing,1.0,0.9980544747081712,0.9990262901655307,514.0
walking,1.0,1.0,1.0,514.0
walking_fast,1.0,1.0,1.0,515.0
accuracy,0.9997262523952916,0.9997262523952916,0.9997262523952916,0.9997262523952916
macro avg,0.999757281553398,0.9997568093385214,0.9997568091083978,3653.0
weighted avg,0.9997267839440386,0.9997262523952916,0.9997262521362529,3653.0
